price,publisher,author,edition_year,ratings,name
1990-6,吕万和,（美）鲁思・本尼迪克特,商务印书馆,8.2,菊与刀
29.80元,北京十月文艺出版社,张爱玲,2006-12,8.7,倾城之恋
2007-3,周煦良,[英]毛姆,上海译文出版社,9.0,刀锋
22.00元,四川科学技术出版社,刘慈欣,2005-6,8.7,球状闪电
2001-9,吴立俊,[美] 斯宾塞·约翰逊,中信出版社,7.1,谁动了我的奶酪？
2004-6,徐翰林,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,8.8,飞鸟集
25.00元,北京十月文艺出版社,沧月,2006-10,8.5,七夜雪
23.80,中国画报出版社,舒仪,2009-3,7.5,曾有一个人，爱我如生命
20.00元,花山文艺出版社,九把刀,2007-1,8.2,那些年，我们一起追的女孩
2002-2,叶渭渠,[日] 川端康成,广西师范大学出版社,8.2,伊豆的舞女
2002-12,林少华,[日] 村上春树,上海译文出版社,8.6,世界尽头与冷酷仙境
1996-12,王科一,[英] 奥斯丁,上海译文出版社,9.0,傲慢与偏见
2010-2,潘帕,[英] 伊恩·麦克尤恩,南京大学出版社,8.0,最初的爱情 最后的仪式
26.80元,安徽文艺出版社,天下霸唱,2006-11,8.0,鬼吹灯之云南虫谷
29.80元,中国海关出版社,当年明月,2009-4,8.9,明朝那些事儿（柒）：大结局
32.00元,电子工业出版社,李笑来,2009-6,8.5,把时间当作朋友
2008-11,谢明宪,[澳] 朗达·拜恩,中国城市出版社,7.3,秘密
2005-2,朱振武,[美] 丹.布朗,人民文学出版社,8.2,天使与魔鬼
29.80元,中国书店,古典,2010-9,7.9,拆掉思维里的墙
28.80,中国海关出版社,当年明月,2008-11,8.8,明朝那些事儿（陆）
25.00元,文化艺术出版社,李海鹏,2010-6,8.2,佛祖在一号线
0,三联书店,金庸,1999-04,8.5,倚天屠龙记(共四册)
36.80元,上海锦绣文章出版社,hans,2009-1,9.0,阿狸·梦之城堡
28.00,陕西师范大学出版社,李可,2009-1,7.3,杜拉拉2华年似水
22.00,长江文艺出版社,落落,2007-12,7.6,不朽
CNY 39.80,湖南文艺出版社,张嘉佳,2013-11-1,7.1,从你的全世界路过
24.00元,长江文艺出版社,郭敬明,2007-5,6.2,悲伤逆流成河
2009-6,娄美莲,[日] 东野圭吾,南海出版公司,8.4,恶意
96.0,三联书店,金庸,1994-5,9.1,天龙八部
2010-1,赵峻,[日]东野圭吾,南海出版公司,7.6,放学后
34.99美元,Arthur A. Levine Books,J.K.Rowling,2007-7-21,8.9,Harry Potter and the Deathly Hallows
20.00元,中国青年出版社,韩寒,2004-8,7.4,长安乱
2005-10,马爱农,[英] J. K. 罗琳,人民文学出版社,8.8,哈利·波特与混血王子
2007-9,竺家荣,[日] 青山七惠,上海译文出版社,7.6,一个人的好天气
28.00元,北京十月文艺出版社,张爱玲,2006-12,8.6,半生缘
25.00元,华文出版社,江南,2004-1,8.4,此间的少年
38.00元,中信出版社,宋鸿兵 编著,2007-6,7.2,货币战争
1999-04,萧宝森,（挪威）乔斯坦·贾德,作家出版社,8.5,苏菲的世界
16.80元,南海出版公司,余华,1998-9,8.7,许三观卖血记
24.00元,春风文艺出版社,郭敬明,2005-2,7.3,1995-2005夏至未至
160 TWD,皇冠出版社,三毛,1976,9.0,撒哈拉的故事
26.80元,中国友谊出版公司,南派三叔,2007-1,8.3,盗墓笔记
2012-9-1,杨玲,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,9.0,霍乱时期的爱情
2009年11月,刘子倩,（日）东野圭吾,南海出版公司,9.0,嫌疑人X的献身
25.00元,江苏文艺出版社,艾米,2007-9,7.8,山楂树之恋
39.80元,现代出版社,唐七公子,2011-1,8.5,华胥引（全二册）
29.80元,武汉大学出版社,高铭,2010-2,8.2,天才在左 疯子在右
1993-7,张玲,[英] 奥斯丁,人民文学出版社,8.8,傲慢与偏见
11.00,花城出版社,张爱玲,1997-3-1,8.5,倾城之恋
16.00,作家出版社,韩寒,2000-5,7.4,三重门
20.00元,新世界出版社,匪我思存,2007-2,7.9,佳期如梦
2014-11-1,林俊宏,[以色列]尤瓦尔·赫拉利,中信出版社,9.1,人类简史
2008-3,祁阿红,[英] 阿加莎・克里斯蒂,人民文学出版社,8.9,无人生还
2004-12-1,洪俞君,高木直子,大田,8.4,一個人住第5年
2004-06,姚乃强,菲茨杰拉德,人民文学出版社,8.3,了不起的盖茨比
1998-7,曾胡,[澳] 考琳·麦卡洛,译林出版社,8.6,荆棘鸟
16.00元,上海译文出版社,郭敬明,2003-5,6.7,左手倒影，右手年华。
12.00,上海人民出版社,韩寒,2000-08,7.2,零下一度
16.00元,作家出版社,韩寒,2002-1,7.3,像少年啦飞驰
2003-9,马爱农,[英] J. K. 罗琳,人民文学出版社,8.7,哈利·波特与凤凰社
22.00元,新世界出版社,亦舒,2007-2,8.1,喜宝
2015-5,孙仲旭,[美] 加·泽文,江苏凤凰文艺出版社,7.6,岛上书店
26.80,沈阳出版社,唐七公子,2009-1,7.9,三生三世 十里桃花
2003-4,林少华,[日] 村上春树,上海译文出版社,8.1,海边的卡夫卡
20.00元,南海出版公司,安妮宝贝,2001-9,7.8,彼岸花
22.80元,长江文艺出版社,笛安,2009-3,7.9,西决
2006-5,陈尧光,[英] 阿加莎·克里斯蒂,人民文学出版社,9.0,东方快车谋杀案
2007-7,林少华,[日] 村上春树,上海译文出版社,8.5,挪威的森林
32.00元,辽宁教育出版社,幾米,2002-2,8.3,地下铁
2001-8,林少华,[日] 村上春树,上海译文出版社,7.8,且听风吟
1996-10,曹缦西,[苏] 尼·奥斯特洛夫斯基,译林出版社,7.6,钢铁是怎样炼成的
12.80元,花城出版社,张爱玲,1996-06,8.4,红玫瑰与白玫瑰
23.80元,天津教育出版社,安意如,2006-8,7.2,人生若只如初见
26.00元,陕西师范大学出版社,李可,2007-9,7.8,杜拉拉升职记
24.80,中国友谊出版公司,当年明月,2006-9,8.7,明朝那些事儿（壹）
2000-9,郑须弥,[英] J. K. 罗琳,人民文学出版社,8.9,哈利·波特与阿兹卡班的囚徒
39.00元,生活·读书·新知三联书店,龙应台,2009-10,8.7,目送
2005-7,王道乾,[法] 玛格丽特·杜拉斯,上海译文出版社,8.1,情人
2007-4,夏金,[美] 奥德丽·尼芬格,人民文学出版社,8.1,时间旅行者的妻子
19.00,中国社会科学出版社,安妮宝贝,2000-1,7.5,告别薇安
38.00,广西师范大学出版社,梁文道,2009-1,8.1,常识
18.00元,上海锦绣文章出版社,王小波,2008-5,8.8,爱你就像爱生命
24.00元,北京十月文艺出版社,三毛,2011-1-7,9.3,撒哈拉的故事
2011-1,李雪顺,[美] 彼得·海斯勒,上海译文出版社,9.0,寻路中国
22.00元,长江文艺出版社,七堇年,2007-11,7.8,被窝是青春的坟墓
29.80元,重庆出版集团,廖信忠,2009-11,7.4,我们台湾这些年
2011-1,施小炜,[日] 村上春树,南海出版公司,7.6,1Q84 BOOK 3
2006-12,张苓,[日] 岩井俊二,天津人民出版社,7.7,关于莉莉周的一切
22.00元,东方出版中心,余秋雨,2001-4,7.8,文化苦旅
1991-12-1,周克希,大仲马,上海译文出版社,9.0,基督山伯爵
2003-1,赵玉皎,[日] 黑柳彻子 著,南海出版公司,8.7,窗边的小豆豆
39.50元,人民文学出版社,[明] 罗贯中,1998-05,9.2,三国演义（全二册）
19.00元,花城出版社,王小波,1999-3,8.8,黄金时代
14.80元,光明日报出版社,今何在,2001-4,8.4,悟空传
16.00元,上海文艺出版社,余华,2005-8,8.3,兄弟（上）
1999-1,张扬,艾米莉·勃朗特,人民文学出版社,8.4,呼啸山庄
76.80元,生活·读书·新知三联书店,金庸,1994-5,9.0,笑傲江湖（全四册）
2014-6,刘子倩,东野圭吾,南海出版公司,9.0,嫌疑人X的献身
26.80元,长江文艺出版社,郭敬明,2010-1,6.3,小时代2.0虚铜时代
13.5元,哈尔滨出版社,张爱玲,2005-6,8.5,金锁记
39.80元,新世界出版社,八月长安,2009-12,8.8,你好，旧时光（上 下）
24.80元,长江文艺出版社,文：安东尼,2010-3,8.4,这些都是你给我的爱
28.00元,译林出版社,吴念真,2011-9,8.8,这些人，那些事
16.00元,作家出版社,安妮宝贝,2001-1,7.5,八月未央
2009-1,施小炜,[日] 村上春树,南海出版公司,8.1,当我谈跑步时我谈些什么
24.80,中国友谊出版公司,当年明月,2007-1,8.9,明朝那些事儿（贰）
2009年9月,许时嘉,太宰治,吉林出版集团有限责任公司,8.3,人间失格
25.0,安徽文艺出版社,天下霸唱,2006,8.1,鬼吹灯之精绝古城
1997-08,叶君健,（丹麦）安徒生,人民文学出版社,9.2,安徒生童话故事集
0.36元,人民文学出版社,鲁迅,1973年3月,8.8,呐喊
28.00,北京十月文艺出版社,张爱玲,2009-4,7.6,小团圆
2000-9,马爱新,[英] J. K. 罗琳,人民文学出版社,8.9,哈利·波特与密室
18.00元,生活·读书·新知三联书店,[美] 黄仁宇,1997-5,8.9,万历十五年
18.80元,生活·读书·新知三联书店,杨绛,2003-7,8.7,我们仨
28.00元,春风文艺出版社,郭敬明,2003-1,7.0,幻城
25.00元,朝华出版社,辛夷坞,2007-8,7.8,致我们终将逝去的青春
25.00元,民族出版社,桐华,2006-6,8.1,步步惊心
39.80元,天津人民出版社,蔡崇达,2014-12-1,7.7,皮囊
20.00元,南海出版公司,安妮宝贝,2004-1,7.7,二三事
27.00元,上海文艺出版社,余华,2006-3,7.4,兄弟（下）
36.00元,广西师范大学出版社,蒋勋,2009-10-1,8.1,孤独六讲
1999-12,碧日,藤子・F・不二雄,吉林美术出版社,9.5,机器猫哆啦A梦23
14.50元,上海书店出版社,鲁迅,2003-7,8.7,阿Q正传
36.00元,湖南文艺出版社,大冰,2014-9-1,7.4,乖，摸摸头
22.00元,长江文艺出版社,七堇年,2007-1,8.2,大地之灯
2015-6-1,付强,[英]克莱儿·麦克福尔,百花洲文艺出版社,6.3,摆渡人
2007-1,于海生,[美] M·斯科特·派克,吉林文史出版社,8.4,少有人走的路
25.00,上海三联书店,刘瑜,2009-6,8.6,民主的细节
26.00,人民文学出版社,龙应台,2008-12,8.7,亲爱的安德烈
2007-9,李继宏,[美] 卡勒德·胡赛尼,上海人民出版社,8.8,灿烂千阳
1999-10,吴劳,海明威,上海译文出版社,8.3,老人与海
29.00,华夏出版社,张德芬,2008-1,8.1,遇见未知的自己
26.80元,长江文艺出版社,笛安,2010-7-1,8.1,东霓
2007-11,董科,尾田荣一郎,浙江人民美术出版社,9.5,海贼王
23.80元,江苏文艺出版社,桐华,2010-01,8.5,那些回不去的年少时光
28.00元,生活·读书·新知三联书店,龙应台,2009-12-1,8.8,孩子你慢慢来
28.80元,长江文艺出版社,安东尼,2010-10,8.3,橙
22.00元,天津人民出版社,安妮宝贝,2004-10,7.9,清醒纪
2007-7,张玉书,[奥] 斯台芬·茨威格,上海译文出版社,8.7,一个陌生女人的来信
25.00元,沈阳出版社,蔡康永 著,2010-10,7.2,蔡康永的说话之道
2012-6-20,段韵灵,(法)马克·李维,湖南文艺出版社,7.8,偷影子的人
18.00,长江文艺出版社,安东尼,2008-3,8.4,陪安东尼度过漫长岁月
20.00元,新世界出版社,明晓溪,2006-3,6.9,泡沫之夏
20.00元,新世界出版社,明晓溪,2005-5,6.6,会有天使替我爱你
2010-4-1,刘绍铭,[英] 乔治·奥威尔,北京十月文艺出版社,9.3,1984
20.00元,春风文艺出版社,落落,2005-2,7.6,年华是无效信
2009年9月,李炜,〔日〕东野圭吾,南海出版公司,7.5,幻夜
2010-5,施小炜,[日] 村上春树,南海出版公司,8.3,1Q84 BOOK 1
32.00元,长江文艺出版社,姜戎,2004-4,8.3,狼图腾
25.00,江苏文艺出版社,顾漫,2009-8,8.0,微微一笑很倾城
16.00元,书海出版社,韩寒 主编,2010-7-6,7.8,独唱团（第一辑）
25.00元,作家出版社,安妮宝贝,2006-3,8.0,莲花
2001-5,马爱新,[英] J. K. 罗琳,人民文学出版社,9.0,哈利·波特与火焰杯
1998-01,冯克利,(法)古斯塔夫.勒庞,中央编译出版社,8.3,乌合之众
26.80元,中国友谊出版公司,南派三叔,2007-4,8.2,盗墓笔记2
24.80,中国友谊出版公司,当年明月,2007-9,8.8,明朝那些事儿（肆）
25.00元,中信出版社,鲍鲸鲸,2010-1,8.1,失恋33天
2007-3,荣如德,[英] 乔治·奥威尔,上海译文出版社,9.2,动物农场
23.00元,陕西师范大学出版社,王小波,2009-07-01,8.9,黄金时代
28.80,中国友谊出版公司,当年明月,2008-3,8.8,明朝那些事儿（伍）
12.00,人民文学出版社,老舍,2000-3-1,8.2,骆驼祥子
26.80元,中国友谊出版公司,南派三叔,2007-11,8.4,盗墓笔记3
2003-7,张经浩,[美] 欧·亨利,上海社会科学院出版社,8.6,麦琪的礼物
2006-5,李继宏,[美] 卡勒德·胡赛尼,上海人民出版社,8.9,追风筝的人
2003-8,马振聘,[法] 圣埃克苏佩里,人民文学出版社,9.0,小王子
19.00,人民文学出版社,钱锺书,1991-2,8.9,围城
2014-5,李盈春,[日] 东野圭吾,南海出版公司,8.6,解忧杂货店
2003-4,董乐山,[英] 乔治·奥威尔,上海译文出版社,9.3,一九八四·动物农场
2009-3-1,丁文林,[巴西]保罗·柯艾略,南海出版公司,8.6,牧羊少年奇幻之旅
1981-8,丁钟华 等,[英] 阿·柯南道尔,群众出版社,9.2,福尔摩斯探案全集（上中下）
29.80元,长江文艺出版社,郭敬明,2008-10,6.5,小时代1.0折纸时代
1992-6,李丹,[法] 雨果,人民文学出版社,8.9,悲惨世界（上中下）
32.80元,中国友谊出版公司,南派三叔,2008-11,8.4,盗墓笔记4
2007-7,何致和,[美] 卡罗琳·帕克丝特,南海出版公司,7.7,巴别塔之犬
27.00元,中国青年出版社,王小波,1997-10,9.1,沉默的大多数
28.00元,人民文学出版社,陈忠实,1997年,8.6,白鹿原
2006-6,潘帕,[美国] 桑德拉·希斯内罗丝,译林出版社,7.8,芒果街上的小屋
2006-10,王永年,[美] 杰克·凯鲁亚克,上海译文出版社,7.8,在路上
47.00元,生活·读书·新知三联书店,金庸,1999-04,8.9,射雕英雄传（全四册）
358.20元,中国海关出版社,当年明月,2009-4,9.1,明朝那些事儿（1-9）
NT$ 299,格林,幾米,2000-2-1,8.6,月亮忘記了
24.80,中国友谊出版公司,当年明月,2007-4,8.9,明朝那些事儿（叁）
12.00元,北岳文艺出版社,沈从文,2002-4,8.6,边城
2006-8,傅惟慈,[英] 毛姆,上海译文出版社,9.0,月亮和六便士
16.00元,生活·读书·新知三联书店,幾米,2002-8,8.4,向左走·向右走
20.00元,作家出版社,余华,2012-8,9.3,活着
32.00,北京十月文艺出版社,霍达,1988-12-1,8.2,穆斯林的葬礼
22.00元,当代世界出版社,饶雪漫,2006-2,7.0,左耳
108.00元,广州出版社 花城出版社,金庸,2008-3,8.8,鹿鼎记（全五册）
1994-11,魏以新,格林兄弟,人民文学出版社,8.9,格林童话全集
2004-1,郝明义,[美] 莫提默·J. 艾德勒,商务印书馆,8.5,如何阅读一本书
2010-1,小二,[美] 雷蒙德·卡佛,译林出版社,7.8,当我们谈论爱情时我们在谈论什么
22.0,人民文学出版社,阿来,1998-3-1,8.4,尘埃落定
19.00元,作家出版社,张悦然,2005-1,7.8,水仙已乘鲤鱼去
19.00元,生活·读书·新知三联书店,林达,1997-5,9.0,历史深处的忧虑
12.00元,南海出版公司,余华,1998-5,9.1,活着
2008-9,刘姿君,[日] 东野圭吾,南海出版公司,9.1,白夜行
2001-2,林少华,[日] 村上春树,上海译文出版社,8.0,挪威的森林
2008-9,刘子倩,[日] 东野圭吾,南海出版公司,8.9,嫌疑人X的献身
23.00,重庆出版社,刘慈欣,2008-1,8.8,三体
2003-7,许钧,[捷克] 米兰·昆德拉,上海译文出版社,8.5,不能承受的生命之轻
2005-12,主万,[美] 弗拉基米尔·纳博科夫,上海译文出版社,7.7,洛丽塔
1989-10,黄锦炎,[哥伦比亚] 加西亚·马尔克斯,上海译文出版社,8.9,百年孤独
2010-6,施小炜,[日] 村上春树,南海出版公司,8.4,1Q84 BOOK 2
27.00元,作家出版社,安妮宝贝,2007-9,7.8,素年锦时
2004-7,穆晓芳,[日] 岩井俊二,天津人民出版社,8.6,情书
12.80,知识出版社,蔡智恒,1999-11-1,7.4,第一次的亲密接触
2005-5,李清华,[德] 帕·聚斯金德,上海译文出版社,8.5,香水
28.00元,北京十月文艺出版社,三毛,2007-6,8.9,梦里花落知多少
18.80元,北方文艺出版社,王小波,2006-4,8.8,一只特立独行的猪
2010-9,柳鸣九,[法] 阿尔贝·加缪,上海译文出版社,9.0,局外人
2013-9-1,黄妙瑜,【英】蕾秋·乔伊斯,北京联合出版公司,8.1,一个人的朝圣
2011-10-24,管延圻,[美] 沃尔特·艾萨克森,中信出版社,8.7,史蒂夫·乔布斯传
2007-6,柳鸣九,（法）莫泊桑,北京燕山出版社,8.1,羊脂球
2002-1,马静,[英] 笛福,广西民族出版社,8.0,鲁滨逊漂流记
2005-1,邹宁,[日] 井上雄彦,长春出版社,9.5,灌篮高手31
15.80元,哈尔滨出版社,三毛,2003-8,9.2,撒哈拉的故事
1982-6,陈敬容,[法]雨果,人民文学出版社,8.3,巴黎圣母院
15.80元,哈尔滨出版社,三毛,2003-6,8.9,哭泣的骆驼
25.00元,朝华出版社,辛夷坞,2007-10,7.6,原来你还在这里
59.70元,人民文学出版社,[清] 曹雪芹 著,1996-12,9.6,红楼梦
20.00元,春风文艺出版社,郭敬明,2003-11,7.1,梦里花落知多少
2004-2,朱振武,[美] 丹·布朗,上海人民出版社,8.2,达·芬奇密码
39.80元,广西师范大学出版社,柴静,2013-1-1,8.8,看见
2011-6,范晔,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,9.2,百年孤独
25.00元,国际文化出版公司,韩寒,2010-9,7.9,1988：我想和这个世界谈谈
76.8,生活·读书·新知三联书店,金庸,1994-5,8.8,神雕侠侣
19.90元,二十一世纪出版社,韩寒,2006-1,7.4,一座城池
1997-3,王振孙,小仲马,外国文学出版社,8.2,茶花女
1997-2,施咸荣,[美国] J. D. 塞林格,译林出版社,7.9,麦田里的守望者
25.00元,万卷出版公司,韩寒,2009-1,7.5,他的国
2006-8,张宓,[意大利]伊塔洛·卡尔维诺,译林出版社,8.8,看不见的城市
22.00元,南海出版公司,王安忆,2003-8,8.3,长恨歌
29.00,东方出版社,九夜茴,2008-1,8.3,匆匆那年（上下）
19.50元,远方出版社,孙睿,2004-1,7.2,草样年华
35.00元,人民文学出版社,章诒和,2004-1,8.6,往事并不如烟
18.00元,作家出版社,安妮宝贝,2002-8,8.0,蔷薇岛屿
2006-7,施寄青,[美] 斯蒂芬·金,人民文学出版社,9.1,肖申克的救赎
2007-3,孙仲旭,[美国] J. D. 塞林格,译林出版社,8.1,麦田里的守望者
2015-7,孙璐,[美] 伍绮诗,江苏凤凰文艺出版社,8.2,无声告白
15.00元,朝华出版社,顾漫,2007-4,7.8,何以笙箫默
64.00元,人民文学出版社,路遥,2005-1,9.0,平凡的世界（全三部）
18.00元,世界图书出版公司,[英] 夏洛蒂·勃朗特,2003-11,8.5,简爱
2000-9,苏农,[英] J. K. 罗琳,人民文学出版社,9.0,哈利·波特与魔法石
2013-1-1,刘姿君,东野圭吾,南海出版公司,9.2,白夜行
32.00,重庆出版社,刘慈欣,2008-5,9.3,三体Ⅱ
20.00元,北方妇女儿童出版社,寂地,2004-10,8.6,我的路
2000-9,李美华,[美国] 玛格丽特·米切尔,译林出版社,9.3,飘
25.00元,上海三联书店,刘瑜,2010-1,8.6,送你一颗子弹
38.00元,重庆出版社,刘慈欣,2010-11,9.2,三体Ⅲ
